Striker_Id,Runs,Strike Rate,Sixes,Fours
333,5,35.714285714285715,0,0
334,574,164.0,37,48
335,4,57.14285714285714,0,0
336,89,104.70588235294119,4,6
337,0,0.0,0,0
338,125,93.28358208955224,1,11
339,877,125.28571428571429,20,96
340,280,86.687306501548,1,23
341,14,107.6923076923077,0,3
342,19,82.6086956521739,0,2
343,4,44.44444444444444,0,0
344,2,33.33333333333333,0,0
345,728,125.51724137931035,26,72
346,3,37.5,0,0
347,10,45.45454545454545,0,0
348,23,85.18518518518519,0,0
349,51,98.07692307692307,2,3
350,285,160.1123595505618,17,18
351,1040,116.85393258426966,38,80
352,10,58.82352941176471,0,0
353,193,132.1917808219178,5,21
354,725,122.46621621621621,24,61
355,726,128.26855123674912,21,90
356,153,113.33333333333333,4,13
357,131,93.57142857142857,6,7
358,106,168.25396825396825,3,16
359,0,0.0,0,0
360,169,106.9620253164557,6,17
361,10,58.82352941176471,0,0
362,295,117.52988047808766,18,15
363,36,92.3076923076923,1,2
364,61,115.09433962264151,3,4
365,7,46.666666666666664,0,1
366,17,85.0,0,1
367,19,65.51724137931035,0,1
368,9,81.81818181818183,0,0
369,122,137.07865168539325,5,9
370,18,46.15384615384615,0,1
371,38,95.0,2,3
372,379,133.45070422535213,21,32
373,20,95.23809523809523,0,4
374,379,117.3374613003096,17,23
375,9,60.0,0,1
376,42,91.30434782608695,1,3
377,47,142.42424242424244,2,3
378,96,97.95918367346938,0,10
379,40,111.11111111111111,0,7
380,53,103.921568627451,3,3
381,5,166.66666666666669,0,1
382,2,66.66666666666666,0,0
383,942,123.62204724409449,36,99
384,29,111.53846153846155,1,3
385,73,169.7674418604651,7,4
386,18,78.26086956521739,0,3
387,1,33.33333333333333,0,0
388,14,51.85185185185185,0,1
389,1,50.0,0,0
390,16,123.07692307692308,1,0
391,38,118.75,2,4
392,12,70.58823529411765,0,1
393,469,115.51724137931035,22,43
394,295,131.69642857142858,16,15
395,18,58.06451612903226,1,0
396,155,100.0,1,15
397,15,115.38461538461537,1,1
398,48,145.45454545454547,2,4
399,2,100.0,0,0
400,156,116.4179104477612,8,13
401,127,135.1063829787234,4,12
402,177,171.84466019417474,6,19
403,47,162.06896551724137,5,2
404,1,33.33333333333333,0,0
405,0,0.0,0,0
406,7,116.66666666666667,0,1
407,255,134.92063492063494,11,23
408,83,207.50000000000003,8,6
409,146,131.53153153153156,4,13
410,42,102.4390243902439,0,5
411,30,96.7741935483871,0,3
412,19,146.15384615384613,1,1
413,237,186.61417322834646,13,22
414,20,74.07407407407408,0,1
415,57,103.63636363636364,3,3
416,13,162.5,1,0
417,54,128.57142857142858,2,3
418,0,0.0,0,0
419,23,69.6969696969697,0,1
420,198,127.74193548387096,6,19
421,88,133.33333333333331,4,4
422,13,118.18181818181819,1,0
423,6,50.0,0,0
424,0,0.0,0,0
425,6,50.0,0,0
426,127,120.95238095238095,3,14
427,157,128.68852459016392,4,20
428,14,107.6923076923077,0,2
429,4,100.0,0,0
430,0,0.0,0,0
431,104,133.33333333333331,8,7
432,0,0.0,0,0
433,24,160.0,2,2
434,3,75.0,0,0
