Striker_Id,Runs,Strike Rate,Sixes,Fours
1,1349,101.73453996983409,42,137
2,2435,124.61617195496417,106,248
3,91,70.54263565891473,2,5
4,1322,120.07266121707538,60,90
5,64,76.19047619047619,2,7
6,2170,113.13868613138686,28,268
7,130,100.7751937984496,3,14
8,4105,126.85414091470952,148,360
9,2427,105.93627237014405,44,255
10,971,125.45219638242895,38,76
11,394,123.89937106918238,13,32
12,76,133.33333333333331,5,5
13,9,75.0,0,1
14,332,105.73248407643312,17,22
15,113,88.28125,2,11
16,6,37.5,0,0
17,1927,109.98858447488584,27,248
18,1107,131.94278903456495,44,121
19,1977,119.96359223300972,52,198
20,3270,135.17982637453494,140,236
21,4106,134.2268715266427,161,360
22,106,96.36363636363636,5,6
23,1441,115.74297188755021,28,154
24,218,91.21338912133892,9,17
25,417,132.80254777070064,11,49
26,1687,118.4691011235955,27,195
27,2339,125.61761546723953,133,175
28,237,124.08376963350784,8,25
29,1148,116.90427698574337,38,88
30,11,55.00000000000001,1,0
31,2779,142.29390681003585,143,231
32,2553,136.59711075441413,121,251
33,259,100.3875968992248,6,22
34,18,94.73684210526315,0,3
35,1574,117.46268656716418,53,112
36,55,78.57142857142857,1,4
37,33,137.5,0,5
38,198,90.41095890410958,6,14
39,42,68.85245901639344,1,3
40,3634,120.01321003963012,51,422
41,2728,148.82705946535734,106,334
42,3082,117.54385964912282,62,348
43,34,91.8918918918919,1,6
44,768,134.03141361256544,39,84
45,39,72.22222222222221,2,2
46,3390,124.58654906284454,104,341
47,91,94.79166666666666,2,9
48,672,114.28571428571428,20,55
49,147,126.72413793103448,8,12
50,783,136.41114982578398,40,76
51,25,75.75757575757575,0,4
52,1017,120.07083825265643,46,66
53,2065,132.88288288288288,92,238
54,985,113.87283236994219,37,77
55,282,104.0590405904059,5,33
56,974,124.71190781049937,41,74
57,3874,129.30574098798397,164,323
58,131,97.76119402985076,3,10
59,49,84.48275862068965,3,1
60,81,110.95890410958904,3,2
61,52,66.66666666666666,1,2
